transaction_id,timestamp,store_id,store_city,product_id,product_name,category,unit_price,quantity,total_amount,payment_method
TXN-20260105-59767,2026-01-05T18:06:50.805429,Online_Store,Online,SKU016,Denim Jacket,Jacket,126.61,1,126.61,Mobile Pay
TXN-20260105-81179,2026-01-05T10:08:16.805429,Online_Store,Online,SKU009,Black Sneakers,Sneakers,104.36,1,104.36,Mobile Pay
TXN-20260105-40783,2026-01-05T19:11:23.805429,Munich_01,Munich,SKU002,Blue T-Shirt,T-Shirt,27.81,1,27.81,Cash
TXN-20260105-42986,2026-01-05T19:58:15.805429,Hamburg_02,Hamburg,SKU010,Running Shoes,Sneakers,89.2,1,89.2,Credit Card
TXN-20260105-58748,2026-01-05T13:02:09.805429,Munich_01,Munich,SKU015,Leather Jacket,Jacket,198.36,1,198.36,Cash
TXN-20260105-98530,2026-01-05T19:47:47.805429,Berlin_01,Berlin,SKU009,Black Sneakers,Sneakers,104.93,2,209.86,Cash
TXN-20260105-29755,2026-01-05T18:27:25.805429,Hamburg_02,Hamburg,SKU012,Summer Dress,Dress,72.41,2,144.81,Mobile Pay
TXN-20260105-99524,2026-01-05T12:07:11.805429,Munich_01,Munich,SKU014,Winter Jacket,Jacket,140.77,1,140.77,Mobile Pay
TXN-20260105-51693,2026-01-05T11:09:15.805429,Frankfurt_01,Frankfurt,SKU004,Black Polo,T-Shirt,34.14,3,102.41,Cash
TXN-20260105-15518,2026-01-05T12:58:44.805429,Munich_01,Munich,SKU012,Summer Dress,Dress,73.8,1,73.8,Debit Card
TXN-20260105-22770,2026-01-05T10:52:40.805429,Munich_01,Munich,SKU005,Slim Fit Jeans,Jeans,68.53,1,68.53,Credit Card
TXN-20260105-38003,2026-01-05T20:33:51.805429,Munich_01,Munich,SKU007,Ripped Jeans,Jeans,76.56,1,76.56,Debit Card
TXN-20260105-89666,2026-01-05T19:22:35.805429,Frankfurt_01,Frankfurt,SKU015,Leather Jacket,Jacket,179.9,2,359.79,Credit Card
TXN-20260105-71987,2026-01-05T19:25:04.805429,Frankfurt_01,Frankfurt,SKU007,Ripped Jeans,Jeans,85.25,2,170.5,Cash
TXN-20260105-32152,2026-01-05T20:52:46.805429,Online_Store,Online,SKU012,Summer Dress,Dress,68.64,3,205.91,Mobile Pay
TXN-20260105-63156,2026-01-05T12:30:51.805429,Hamburg_02,Hamburg,SKU001,Red T-Shirt,T-Shirt,28.19,2,56.39,Credit Card
TXN-20260105-94452,2026-01-05T14:56:11.805429,Hamburg_02,Hamburg,SKU002,Blue T-Shirt,T-Shirt,25.63,1,25.63,Mobile Pay
TXN-20260105-44295,2026-01-05T13:59:28.805429,Berlin_01,Berlin,SKU010,Running Shoes,Sneakers,92.8,1,92.8,Credit Card
TXN-20260105-19394,2026-01-05T21:20:54.805429,Berlin_01,Berlin,SKU009,Black Sneakers,Sneakers,102.69,2,205.38,Credit Card
TXN-20260105-31672,2026-01-05T21:57:08.805429,Berlin_01,Berlin,SKU001,Red T-Shirt,T-Shirt,27.38,1,27.38,Cash
TXN-20260105-96974,2026-01-05T15:32:32.805429,Online_Store,Online,SKU009,Black Sneakers,Sneakers,116.68,1,116.68,Mobile Pay
TXN-20260105-53587,2026-01-05T16:09:10.805429,Munich_01,Munich,SKU014,Winter Jacket,Jacket,144.3,1,144.3,Debit Card
TXN-20260105-37414,2026-01-05T15:53:03.805429,Hamburg_02,Hamburg,SKU013,Party Dress,Dress,141.5,1,141.5,Debit Card
TXN-20260105-51040,2026-01-05T17:59:22.805429,Frankfurt_01,Frankfurt,SKU010,Running Shoes,Sneakers,97.14,3,291.43,Credit Card
TXN-20260105-24968,2026-01-05T14:55:09.805429,Berlin_01,Berlin,SKU007,Ripped Jeans,Jeans,89.4,2,178.81,Mobile Pay
TXN-20260105-84681,2026-01-05T18:41:09.805429,Online_Store,Online,SKU001,Red T-Shirt,T-Shirt,28.23,1,28.23,Debit Card
TXN-20260105-94366,2026-01-05T11:55:15.805429,Frankfurt_01,Frankfurt,SKU011,Little Black Dress,Dress,94.87,1,94.87,Debit Card
TXN-20260105-96559,2026-01-05T16:21:52.805429,Berlin_01,Berlin,SKU015,Leather Jacket,Jacket,180.09,1,180.09,Debit Card
TXN-20260105-40326,2026-01-05T20:25:49.805429,Munich_01,Munich,SKU008,White Sneakers,Sneakers,111.42,2,222.85,Mobile Pay
TXN-20260105-28069,2026-01-05T16:35:19.805429,Online_Store,Online,SKU006,Regular Jeans,Jeans,68.62,1,68.62,Cash
TXN-20260105-91308,2026-01-05T21:06:28.805429,Munich_01,Munich,SKU012,Summer Dress,Dress,72.53,1,72.53,Cash
TXN-20260105-98666,2026-01-05T12:04:19.805429,Online_Store,Online,SKU011,Little Black Dress,Dress,98.87,2,197.73,Debit Card
TXN-20260105-97344,2026-01-05T14:57:17.805429,Berlin_01,Berlin,SKU009,Black Sneakers,Sneakers,117.21,1,117.21,Mobile Pay
TXN-20260105-70919,2026-01-05T12:11:22.805429,Online_Store,Online,SKU016,Denim Jacket,Jacket,129.04,1,129.04,Mobile Pay
TXN-20260105-15043,2026-01-05T17:08:45.805429,Frankfurt_01,Frankfurt,SKU014,Winter Jacket,Jacket,133.44,1,133.44,Mobile Pay
TXN-20260105-73883,2026-01-05T14:07:20.805429,Munich_01,Munich,SKU014,Winter Jacket,Jacket,138.37,1,138.37,Cash
TXN-20260105-77592,2026-01-05T17:03:10.805429,Munich_01,Munich,SKU016,Denim Jacket,Jacket,112.68,1,112.68,Mobile Pay
TXN-20260105-49487,2026-01-05T17:06:51.805429,Frankfurt_01,Frankfurt,SKU009,Black Sneakers,Sneakers,103.61,1,103.61,Credit Card
TXN-20260105-74860,2026-01-05T19:32:23.805429,Berlin_01,Berlin,SKU001,Red T-Shirt,T-Shirt,26.18,2,52.36,Mobile Pay
TXN-20260105-81117,2026-01-05T18:19:43.805429,Munich_01,Munich,SKU009,Black Sneakers,Sneakers,104.84,2,209.68,Mobile Pay
TXN-20260105-74535,2026-01-05T18:47:33.805429,Frankfurt_01,Frankfurt,SKU011,Little Black Dress,Dress,89.74,1,89.74,Mobile Pay
TXN-20260105-32879,2026-01-05T19:45:47.805429,Munich_01,Munich,SKU013,Party Dress,Dress,146.51,2,293.02,Debit Card
TXN-20260105-41823,2026-01-05T15:20:15.805429,Hamburg_02,Hamburg,SKU010,Running Shoes,Sneakers,99.65,3,298.94,Cash
TXN-20260105-17482,2026-01-05T19:55:42.805429,Hamburg_02,Hamburg,SKU012,Summer Dress,Dress,78.25,1,78.25,Debit Card
TXN-20260105-29311,2026-01-05T19:23:49.805429,Hamburg_02,Hamburg,SKU014,Winter Jacket,Jacket,131.15,1,131.15,Credit Card
TXN-20260105-79021,2026-01-05T21:21:22.805429,Frankfurt_01,Frankfurt,SKU006,Regular Jeans,Jeans,68.13,1,68.13,Credit Card
TXN-20260105-52221,2026-01-05T21:00:29.805429,Munich_01,Munich,SKU010,Running Shoes,Sneakers,96.99,2,193.99,Cash
TXN-20260105-80721,2026-01-05T18:30:50.805429,Hamburg_02,Hamburg,SKU016,Denim Jacket,Jacket,123.3,2,246.61,Debit Card
